y, e, y(t;y;e)
-20,  -20,  0.111111
-20,  -19.8,  0.111111
-20,  -19.6,  0.111111
-20,  -19.4,  0.111111
-20,  -19.2,  0.111111
-20,  -19,  0.111111
-20,  -18.8,  0.111111
-20,  -18.6,  0.111111
-20,  -18.4,  0.111111
-20,  -18.2,  0.111111
-20,  -18,  0.111111
-20,  -17.8,  0.111111
-20,  -17.6,  0.111111
-20,  -17.4,  0.111111
-20,  -17.2,  0.111111
-20,  -17,  0.111111
-20,  -16.8,  0.111111
-20,  -16.6,  0.111111
-20,  -16.4,  0.111111
-20,  -16.2,  0.111111
-20,  -16,  0.111111
-20,  -15.8,  0.111111
-20,  -15.6,  0.111111
-20,  -15.4,  0.111111
-20,  -15.2,  0.111111
-20,  -15,  0.111111
-20,  -14.8,  0.111111
-20,  -14.6,  0.111111
-20,  -14.4,  0.111111
-20,  -14.2,  0.111111
-20,  -14,  0.111111
-20,  -13.8,  0.111111
-20,  -13.6,  0.111111
-20,  -13.4,  0.111111
-20,  -13.2,  0.111111
-20,  -13,  0.111111
-20,  -12.8,  0.111111
-20,  -12.6,  0.111111
-20,  -12.4,  0.111111
-20,  -12.2,  0.111111
-20,  -12,  0.111111
-20,  -11.8,  0.111111
-20,  -11.6,  0.111111
-20,  -11.4,  0.111111
-20,  -11.2,  0.111111
-20,  -11,  0.111111
-20,  -10.8,  0.111111
-20,  -10.6,  0.111111
-20,  -10.4,  0.111111
-20,  -10.2,  0.111111
-20,  -10,  0.111111
-20,  -9.8,  0.111111
-20,  -9.6,  0.111111
-20,  -9.4,  0.111111
-20,  -9.2,  0.111111
-20,  -9,  0.111111
-20,  -8.8,  0.111111
-20,  -8.6,  0.111111
-20,  -8.4,  0.111111
-20,  -8.2,  0.111111
-20,  -8,  0.111111
-20,  -7.8,  0.111111
-20,  -7.6,  0.111111
-20,  -7.4,  0.111111
-20,  -7.2,  0.111111
-20,  -7,  0.111111
-20,  -6.8,  0.111111
-20,  -6.6,  0.111111
-20,  -6.4,  0.111111
-20,  -6.2,  0.111111
-20,  -6,  0.111111
-20,  -5.8,  0.111111
-20,  -5.6,  0.111111
-20,  -5.4,  0.111111
-20,  -5.2,  0.111111
-20,  -5,  0.111111
-20,  -4.8,  0.111111
-20,  -4.6,  0.111111
-20,  -4.4,  0.111111
-20,  -4.2,  0.111111
-20,  -4,  0.111111
-20,  -3.8,  0.111111
-20,  -3.6,  0.111111
-20,  -3.4,  0.111111
-20,  -3.2,  0.111111
-20,  -3,  0.111111
-20,  -2.8,  0.111111
-20,  -2.6,  0.111111
-20,  -2.4,  0.111111
-20,  -2.2,  0.111111
-20,  -2,  0.111111
-20,  -1.8,  0.111111
-20,  -1.6,  0.111111
-20,  -1.4,  0.111111
-20,  -1.2,  0.111111
-20,  -1,  0.111111
-20,  -0.8,  0.111111
-20,  -0.6,  0.111111
-20,  -0.4,  0.111111
-20,  -0.2,  0.111111
-20,  0,  0.111111
-19.8,  -20,  0.111111
-19.8,  -19.8,  0.111111
-19.8,  -19.6,  0.111111
-19.8,  -19.4,  0.111111
-19.8,  -19.2,  0.111111
-19.8,  -19,  0.111111
-19.8,  -18.8,  0.111111
-19.8,  -18.6,  0.111111
-19.8,  -18.4,  0.111111
-19.8,  -18.2,  0.111111
-19.8,  -18,  0.111111
-19.8,  -17.8,  0.111111
-19.8,  -17.6,  0.111111
-19.8,  -17.4,  0.111111
-19.8,  -17.2,  0.111111
-19.8,  -17,  0.111111
-19.8,  -16.8,  0.111111
-19.8,  -16.6,  0.111111
-19.8,  -16.4,  0.111111
-19.8,  -16.2,  0.111111
